"Projet","Titre","Description","Assigné à","Progression","Étape","Date de début","Date de fin","Heures passées","Heures passées sur les sous-tâches","Heures prévues initialement","Heures prévues sous-tâches","Heures restantes","Tâche parente","Sous-tâches","Étiquette d'état Kanban"
"Projet Interne: Déploiement outils Just Odoo It","Enregistrements vidéos formations","<ul><li><p>23/11/21 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1637657615008"" target=""_blank"">Formation gestion des droits</a></p></li><li><p>09/12/21 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1638969966010"" target=""_blank"">Formation configuration compta/facturation/vente et application ventes (devis/bdc)</a><br></p></li><li><p>13/12/21 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1639402137252"" target=""_blank"">Formation facturation et comptabilité</a><br></p></li><li><p>21/12/21 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1640090426440"" target=""_blank"">Formation rapprochement bancaire<br></a></p></li><li><p>19/01/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1642596929794"" target=""_blank"">Formation gestion de projet, plan de charge</a><br></p></li><li><p>20/01/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1642669027218"" target=""_blank"">Formation email marketing, modèle de mail</a><br></p></li><li><p>04/03/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1646312054555"" target=""_blank"">Formation intégration Chorus - édition en lot - réponses questions compta</a><br></p></li><li><p>29/03/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1648562684767"" target=""_blank"">Formation réponses questions compta + sync Odoo - Nextcloud</a><br></p></li><li><p>07/04/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1649314807675"" target=""_blank"">Formation import auto de facture pdf + réponses questions<br></a>12/05/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/1377cec38fd26dfc4f3d37ed7fd76103e20de9a6-1652355893965"" target=""_blank"">Formation KPI/dashboard + memobank</a> - <a href=""https://docs.elabore.coop/wuFJ6p1IQ9S_Faz6KzZApQ?view#"" target=""_blank"">bibliothèque de KPIs</a><br></p></li><li><p>03/06/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1654070041740"" target=""_blank"">Formation site internet</a><br></p></li><li><p>30/09/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1664539447034"" target=""_blank"">Point rentré, compta sub, paie, gestion des entretiens</a><br></p></li><li><p>19/10/22 - <a href=""https://visio.myceliandre.fr/playback/presentation/2.3/0b81cdb3d961f64f724f9a6ae4fb1d9599aa134c-1666094119935"">Echange calendrier + point sur les tâches</a><br></p></li></ul>","Mathieu Elabore","0.0","Informations","2021-11-25 10:18:23","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Déplacement: Guillaume","<p><br></p>","Guillaume Martin","0.0","Déplacement","","","28.0","0.0","0.0","0.0","-28.0","Déplacement","","En cours"
"[Bercyhub] Accompagnement mise à jour feuille de route AMDAC","Gestion de projet - senior:Samuel","<p><br></p>","Samuel Goeta","0.0","Gestion de projet","","","0.0","0.0","4.0","0.0","4.0","Gestion de projet - senior:Anne-Laure","","En cours"
"[Bercyhub] Accompagnement mise à jour feuille de route AMDAC","Animation 3 rencontres - senior:Samuel","<p><br></p>","Samuel Goeta","0.0","[Option 1] Animation de communauté","2023-09-01 14:27:35","2023-11-30 15:27:35","0.0","0.0","14.0","0.0","14.0","Animation 3 rencontres - senior","","En cours"
"[Bercyhub] Accompagnement mise à jour feuille de route AMDAC","Rédaction FDR - senior:Maëlle","<p><br></p>","Maëlle Fouquenet","0.0","Rédaction FDR","2023-06-01 14:08:18","2023-09-30 14:08:18","0.0","0.0","14.0","0.0","14.0","Rédaction FDR - senior","","En cours"
"[Bercyhub] Accompagnement mise à jour feuille de route AMDAC","Analyse comparée de la feuille de route - senior:Maëlle","<p><br></p>","Maëlle Fouquenet","100.0","Veille européenne et analyse comparée","2023-01-11 15:00:19","2023-05-31 14:00:19","13.5","0.0","7.0","0.0","-6.5","Analyse comparée de la feuille de route - senior","","En cours"
"Tâches non facturables à timesheeter","Académie des futurs leaders","","Samuel Goeta","0.0","Partenaires et représentation","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Accompagnement données de concession/énergie","Cadrage client","<p><br></p>","François Lacombe","75.0","Terminé","2023-03-06 08:56:12","2023-03-31 07:56:12","2.25","0.0","3.0","0.0","0.75","","","En cours"
"Animation nationale du PCRS","Atelier 12/05","<p><br></p>","Magalie Dartus","0.0","En cours","","","6.5","0.0","0.0","0.0","-6.5","","","En cours"
"Accompagnement standard de données pour l’offre de médiation numérique","Animation et préparation de COPIL x 3","<p><br></p>","Samuel Goeta","0.0","En cours","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"PIX","suivi de mission","<p><br></p>","Maëlle Fouquenet","0.0","fait","","","3.83","0.0","0.0","0.0","-3.83","","","En cours"
"Cours Avignon","Session 30 janvier","<p><br></p>","Anne-Laure Donzel","100.0","Session de cours","","","6.0","0.0","0.5","0.0","-5.5","","","En cours"
"Cours IEP SGL","Cours 2A - Data et territoire:Clément","<p><br></p>","Clément Mandron","0.0","A faire","2023-04-17 11:38:56","2023-04-28 11:38:56","0.0","0.0","14.0","0.0","14.0","Cours 2A - Data et territoire","","En cours"
"Consolidation données de la TEE","Données énergie","<p><br></p>","François Lacombe","60.0","Terminé","2023-01-26 18:53:51","2023-02-09 18:53:51","3.0","0.0","5.0","0.0","2.0","","","En cours"
"Challenge Data #5","Publier les carnets de bord:Diane","<p><br></p>","Diane Thierry","0.0","Post-challenge","","","7.5","0.0","0.0","0.0","-7.5","Publier les carnets de bord","","Prêt"
"Challenge Data #5","Présence à l'IEP CD#5:Guillaume","<p><br></p>","Guillaume Martin","0.0","Challenge","","","40.0","0.0","0.0","0.0","-40.0","Présence à l'IEP CD#5","","Prêt"
"Challenge Data #5","Recrutement des collectivités: Maëlle","<p><br></p>","Maëlle Fouquenet","0.0","Pré-challenge","","","20.0","0.0","0.0","0.0","-20.0","Recrutement des collectivités","","Prêt"
"Accompagnement à la mise en place d’un Challenge Data des Mobilités","Animation (conseil)","<p><br></p>","Anne-Laure Donzel","0.0","Etape 2","","","0.0","0.0","28.0","0.0","28.0","S00116: Conseil consultant senior","","En cours"
"Accompagnement à la mise en place d’un Challenge Data des Mobilités","S00116: Analyse de la documentation produite lors du Challenge Data et rédaction d’une note d’analyse autour problèmes et barrières rencontrés ","","","0.0","Etape 3","","","0.0","0.0","35.0","0.0","35.0","","","En cours"
"Accompagnement à la mise en place d’un Challenge Data des Mobilités","S00116: Réalisation de 8 entretiens avec les partenaires du projet dans le but de recenser les données disponibles","<p><br></p>","","0.0","Etape 1","","","0.0","2.17","0.0","14.0","-2.17","","Anne-Laure Donzel","En cours"
"Ouvrir ma ville","[sous-tâche Elise] Préparation, des ateliers avancés d'Ouvrir Ma Ville:","<p><br></p>","Ho-Pun-Cheung Élise","66.21","En cours","","","12.58","0.0","19.0","0.0","6.42","S00060: Préparation, documentation des ateliers avancés d'Ouvrir Ma Ville","","En cours"
"Animation nationale du PCRS","Cadrage suivi collaboratif","<p><br></p>","François Lacombe","70.0","Recette","2023-01-02 11:26:29","2023-02-28 11:26:29","10.5","0.0","15.0","0.0","4.5","","","En cours"
"Tâches non facturables à timesheeter","Orga séminaire Nantes","<p><br></p>","Maëlle Fouquenet","0.0","Interne","","","15.5","0.0","0.0","0.0","-15.5","Organisation séminaire","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Phase 4 - Formalisation offre de service : Guillaume","<p><br></p>","Guillaume Martin","100.0","Phase 4 - Formalisation offre de service du Datalab","2023-02-01 15:57:39","2023-03-31 14:57:39","71.0","0.0","23.0","0.0","-48.0","Phase 4 - Formalisation offre de service","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Comitologie: Anne-Laure","<p><br></p>","Anne-Laure Donzel","100.0","Comitologie","2022-09-06 14:50:46","2023-04-30 14:50:46","15.25","0.0","12.0","0.0","-3.25","Comitologie","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Phase 2 - Etat des lieux: recensement des besoins: Guillaume","<p><br></p>","Guillaume Martin","30.43","Phase 2 - Analyse des besoins data du territoire","2022-12-01 15:54:49","2023-02-10 15:54:49","7.0","0.0","23.0","0.0","16.0","Phase 2 - Etat des lieux: recensement des besoins","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Phase 1 - Etat des lieux: Entretien état des lieux de l'offre: Guillaume","<p><br></p>","Guillaume Martin","100.0","Phase 1 - Réalisation d'un état des lieux","2022-09-06 14:52:51","2023-01-20 15:52:51","40.0","0.0","39.0","0.0","-1.0","Phase 1 - Etat des lieux: Entretien état des lieux de l'offre","","En cours"
"[BdM] Challenge data interne","Identification des items partagés: aide Sarah","<p><br></p>","Sarah Bourgouin","0.0","ToDo","2023-01-09 09:26:02","2023-01-21 09:26:02","0.0","0.0","10.0","0.0","10.0","Identification des items partagés","","En cours"
"[BercyHub] Formations IGPDE","Animation 2 fresques: Animation Samuel","<p><br></p>","Samuel Goeta","0.0","En cours","","","0.0","0.0","7.0","0.0","7.0","Animation 2 fresques","","En cours"
"Catalogue des contenus","Patchwork - Sprint Plan de Gestion des Données","<p>https://opendatacanvas.org/sprint-pgd<br></p>","Etienne Pichot Damon","0.0","✅ Générique ou template","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Étude métiers de la donnée [MESR]","Analyse statistique de l'enquête métiers","<p><br></p>","Diane Thierry","100.0","À venir","2023-02-15 22:05:20","2023-03-15 22:05:20","40.5","0.0","30.0","0.0","-10.5","Enquête","","En cours"
"Audit du modèle de PGD","Préconisations pour faire évoluer le modèle de PGD","<p><br></p>","","100.0","Nouveau","2023-01-23 18:40:06","2023-01-31 18:39:57","10.5","0.0","7.0","0.0","-3.5","","","En cours"
"Projet de recherche-action standardisation (R&D)","Valorisation scientifique (colloques, etc.)","","Ho-Pun-Cheung Élise","0.0","Valorisation/communication","","","6.0","0.0","0.0","0.0","-6.0","","","En cours"
"Open Data Canvas (R&D)","Revue de littérature","<p><br></p>","Arthur Sarazin","0.0","En cours","","","56.42","0.0","0.0","0.0","-56.42","","Stéphanie Trichard","En cours"
"Tâches non facturables à timesheeter","Communautés: R&D","<p><br></p>","Ho-Pun-Cheung Élise","0.0","Communautés","","","8.5","0.0","0.0","0.0","-8.5","","","En cours"
"Analyse données de participation [Métropole de Lyon]","Réunions","<p><br></p>","Samuel Goeta","0.0","En cours","","","2.0","27.33","0.0","21.0","-29.33","","","En cours"
"Nouveau programme d'acculturation [BercyHub]","Création des supports","<p><br></p>","Clément Mandron","0.0","En cours","","","55.28","0.0","0.0","0.0","-55.28","Phase 3 : Finalisation des ateliers","","En cours"
"DREAL Grand Est - DataHub","S00118: [Datahub DREAL Grand Est] Réunion de cadrage du projet d’une demi-journée  pour tout type de participant confondu","","","0.0","Liste des prix","","","0.0","0.0","28.0","0.0","28.0","","","En cours"
"DREAL Grand Est - DataHub","S00118: [Datahub DREAL Grand Est] Prestations Script de traitement et de collecte de la donnée de l’intervenant Senior","","","0.0","Liste des prix","","","0.0","0.0","21.0","0.0","21.0","","","En cours"
"[CGDD] - Offre interne de service juridique sur la donnée","Conseil consultant senior","<p><br></p>","","100.0","Gestion de projet","","","14.0","0.0","14.0","7.0","0.0","","Joël Gombin","En cours"
"Étude métiers de la donnée [MESR]","Enquête","<p><br></p>","Pauline Breton-Chauvet","39.27","En cours","2023-01-20 05:48:20","2023-05-03 04:48:15","16.83","40.5","146.0","30.0","88.67","","Diane Thierry","En cours"
"Analyse données de participation [Métropole de Lyon]","Annotation des contributions (junior)","<p>Analyse de données (extraction, nettoyage, traitement, analyse, mise en visualisation) (tarif de base)</p>","","100.0","Terminé","2022-10-14 22:00:00","2023-01-14 23:00:00","85.5","0.0","35.0","0.0","-50.5","Annotation des contributions","","Prêt"
"Catalogue des contenus","Dataviz : communiquer par les chiffres","<p>https://datactivist.coop/futurocite_ouvrir-ma-ville/dataviz/#1<br></p>","Etienne Pichot Damon","0.0","🔜 Préparé pour publication","","","0.0","0.0","0.0","0.0","0.0","Futurocités - Méthodologie ""ouvrir ma ville""","","En cours"
"Accompagnement open data - Métropole Rouen Normandie","Ateliers citoyens","<p><br></p>","Anne-Laure Donzel","16.67","Phase 3","","","10.0","0.0","60.0","0.0","50.0","S00126: Phase 3 - Acculturation et sensibilisation à l’open data","","En cours"
"Etude de cadrage Horizon [IRD]","Pilotage, organisation, suivi","<p>Incl. l'organisation des entretiens.</p>","Pauline Breton-Chauvet","69.83","En cours","2022-12-08 13:59:08","2023-05-05 12:59:08","29.33","0.0","42.0","0.0","12.67","","","En cours"
"Catalogue des contenus","Audit open data et gouvernance de données","<p>https://drive.google.com/file/d/1Sz1JzgR2PDb_21ZMXikhybCVRD94Qd3T/view</p>","Etienne Pichot Damon","0.0","✂ Custom / à sectionner","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Tâches non facturables à timesheeter","Prospection: Qualification","<p><br></p>","Sarah Bourgouin","0.0","Prospection","","","1.75","0.0","0.0","0.0","-1.75","Prospection générale","","En cours"
"Data Challenge GD4H/Ecolab","Création forum","<p><br></p>","Anthony Gigerich","0.0","Phase 1","2023-02-02 17:26:08","2023-04-05 16:26:08","12.5","0.0","0.0","0.0","-12.5","Mise en place de l'infrastructure","","En cours"
"Data Challenge GD4H/Ecolab","Finaliser les projets (validation et amélioration des codes, tests)","<p><br></p>","Clément Feyt","0.0","Phase 3","2023-06-09 07:16:16","2023-07-20 07:16:16","0.0","0.0","140.0","35.0","140.0","","Clément Feyt","En cours"
"Data Challenge GD4H/Ecolab","Présence sur l’événement de lancement : 4 datactivistes","<p><br></p>","Sarah Bourgouin","0.0","Phase 2","","","3.0","0.0","0.0","0.0","-3.0","Préparer l’événement de lancement","","En cours"
"Data Challenge GD4H/Ecolab","Gestion phase 1","<p><br></p>","Sarah Bourgouin","100.0","Gestion de projet","2022-12-01 14:16:53","2023-04-05 13:17:14","70.17","0.0","28.0","0.0","-42.17","","","En cours"
"Data Challenge GD4H/Ecolab","Préparation et présence atelier Sarah","<p><br></p>","Sarah Bourgouin","100.0","Phase 1 finie","2022-12-07 17:15:11","2023-01-20 23:00:00","27.17","0.0","21.0","0.0","-6.17","Fournir une expertise technique sur les défis","","En cours"
"Plateforme MUSE","Kickoff","","François Lacombe","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","Conseil consultant senior","","Prêt"
"Webinaires INTEFP","Préparation et animation webinaire 2","<p><br></p>","","100.0","Nouveau","","","14.0","0.0","14.0","0.0","0.0","","","En cours"
"Wiki sur la sémantisation des données","Contenus finalisés","<p><br></p>","Pauline Breton-Chauvet","0.0","Alimentation du wiki","","","0.0","0.0","8.75","0.0","8.75","","","En cours"
"Wiki sur la sémantisation des données","Deux ateliers en ligne de 2h30 pour consolidation ","<p><br></p>","Pauline Breton-Chauvet","14.29","Structuration du wiki","","","1.5","0.0","10.5","0.0","9.0","","","En cours"
"Animation nationale du PCRS","Revue fiches PCRS CNIG","<p><br></p>","François Lacombe","0.0","Terminé","2022-11-01 11:24:41","2022-12-16 11:24:41","1.0","0.0","0.0","0.0","-1.0","","","Prêt"
"DREAL Grand Est - DataHub","Restitutions","<p><br></p>","Magalie Dartus","0.0","MS2-E4-Feuille de route","","","11.5","0.0","0.0","0.0","-11.5","","","Prêt"
"DREAL Grand Est - DataHub","Diffuser le questionnaire","<p><br></p>","Magalie Dartus","0.0","MS2-E1-Grille comparative","2022-11-28 15:48:14","2022-12-15 15:48:14","1.0","0.0","0.0","0.0","-1.0","","","Prêt"
"DREAL Grand Est - DataHub","Cadrage du projet","<p><br></p>","Magalie Dartus","0.0","MS2 - gestion de projet","","","16.0","0.0","0.0","0.0","-16.0","","","Prêt"
"AMO open data et workflow","Gestion de projet","<p><br></p>","Joël Gombin","0.0","Pilotage","2022-09-12 08:58:54","2022-10-14 08:58:54","21.5","0.0","0.0","0.0","-21.5","","","En cours"
"AMO open data et workflow","Parangonnage:grille de critères","","Clément Mandron","0.0","Achevé","","","0.0","0.0","0.0","0.0","0.0","Parangonnage","","En cours"
"DREAL Grand Est - DataHub","Demi-journée ""Connaissance""","<p><br></p>","Magalie Dartus","100.0","MS1 - Archivé","","","22.5","0.0","22.5","0.0","0.0","","","Prêt"
"Projet Interne: Déploiement outils Just Odoo It","En tant qu'utilisateur je peux supprimer un message envoyé de puis le chatter avec la fonctionnalité ""envoyer un message""","","Stéphan Elabore","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Observatoire de la TE","Contextualisation indicateurs","<p><br></p>","François Lacombe","0.0","En cours","","","18.0","0.0","0.0","0.0","-18.0","","","En cours"
"Observatoire de la TE","Atelier 2 data 26/01","<p><br></p>","François Lacombe","100.0","Terminé","","","5.0","0.0","4.0","0.0","-1.0","","","Prêt"
"Audit des données SHS","Élaboration de 12 plans de gestion des données","<p><br></p>","Antoine Blanchard","100.0","Terminé","","","105.0","0.0","105.0","0.0","0.0","","","En cours"
"France Data Réseau","IRVE - discussions nationales","","François Lacombe","0.0","Terminé","","","1.5","0.0","0.0","0.0","-1.5","","","Prêt"
"Projet Interne: Déploiement outils Just Odoo It","Créer bon de commande non récurrent fournisseur","<p><br></p>","Mathieu Elabore","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Observatoire des données de l'achat public (ODAP)","Analyse de l'automatisation de la collecte des données alimentant l'ODAP ","<p>et du calcul des indicateurs<br></p>","","0.0","Achevé","","","0.0","0.0","10.5","0.0","10.5","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Accès devis en ligne","<p>Lorsque nous envoyons un devis ou une facture à un client par mail, un bouton pour consulter le document en ligne apparaît automatiquement (en plus de la pièce jointe en pdf), qui n'apparaît pourtant pas dans le modèle éditable. Est-il possible de l'enlever ? on trouve que c'est une source de confusion pour nos clients. <br></p>","Stéphan Elabore","0.0","Transféré sur Elabore.coop","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Note de conjoncture data IA Cyber","Entretiens","","","0.0","Suivi des temps","","","0.0","0.0","8.0","0.0","8.0","","","En cours"
"DataStoryTelling","[INOPS] UO 5568195 - P6.5.4 - Définition des spécifications fonctionnelles pour une solution d'intelligence de la donnée niveau complexe","","","0.0","Suivi des temps","","","0.0","0.0","1.0","0.0","1.0","","","En cours"
"DataStoryTelling","Phase 1 : Les donnees et inspirations - 22827358 UO 5568176 UO 5568176 - P6.1.1 - Cadrage d'une démarche et/ou d'un projet d’intelligence de la donnée niveau très simple","","","0.0","Suivi des temps","","","0.0","0.0","3.0","0.0","3.0","","","En cours"
"Dataviz CEREQ","Suivi général projet","","Joël Gombin","0.0","En cours","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Formations à planifier","<p> </p><br><table class=""table table-bordered""><tbody><tr><td><b>Nom<br></b></td><td><b>Durée<br></b></td><td><b>Etat<br></b></td></tr><tr><td>Rocket chat</td><td>30min à 1h<br></td><td>prêt à former</td></tr><tr><td><font style=""color: rgb(41, 82, 24);"">Module Odoo OCR simple PDF</font></td><td>30min à 1h</td><td><p><font style=""color: rgb(57, 123, 33);"">Réalisée</font><br></p></td></tr><tr><td><font style=""color: rgb(57, 123, 33);"">Paramétrage et utilisation synchro Odoo Chorus </font></td><td><br></td><td><font style=""color: rgb(57, 123, 33);"">Réalisée</font><br></td></tr><tr><td>Paramétrage et utilisation synchro Odoo Mooncard</td><td><br></td><td><font style=""color: rgb(57, 123, 33);"">Réalisée</font></td></tr><tr><td><p>Gestion de projet, paramétrage des articles, facturation depuis le projet<br></p></td><td>2h min<br></td><td>prêt à former<br></td></tr><tr><td><font style=""color: rgb(57, 123, 33);"">Formation Email Marketing</font><br></td><td>1h<br></td><td><font style=""color: rgb(57, 123, 33);"">Réalisée</font></td></tr><tr><td><font style=""color: rgb(57, 123, 33);"">Formation édition en lot + champ par défaut</font><br></td><td>30min<br></td><td><font style=""color: rgb(57, 123, 33);"">Réalisée</font></td></tr><tr><td>Paramétrage et utilisation synchro Odoo Nextcloud</td><td>1h<br></td><td><font style=""color: rgb(57, 123, 33);"">Réalisée</font></td></tr><tr><td>Site web<br></td><td>1h<br></td><td><font style=""color: rgb(57, 123, 33);"">Réalisée</font></td></tr></tbody></table><ul></ul>","Mathieu Elabore","0.0","Informations","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"Projet Interne: Déploiement outils Just Odoo It","Intégration Nextcloud","<ul><li><p><a href=""https://apps.odoo.com/apps/modules/14.0/owncloud_odoo/"" target=""_blank"">Achat et installation du module suivant</a></p><ul><li><p>Module acheté et ajouté sur votre instance mais il manque une dépendance Python donc pas encore installé<br></p></li></ul></li><li><p>Mise en place de l'authentification unique</p><ul><li><p>Le <a href=""https://apps.odoo.com/apps/modules/12.0/galicea_openid_connect/"" target=""_blank"">module qu'on utilise</a> n'est pas migré en V14, le dev ne répond pas, il faut qu'on le migre manuellement. A priori pas trop compliqué mais il faut qu'on trouve le temps!<br></p></li></ul></li></ul><p><a href=""https://apps.odoo.com/apps/modules/14.0/owncloud_odoo/"" target=""_blank""> <br></a><br></p>","Mathieu Elabore","0.0","Terminé","","","0.0","0.0","0.0","0.0","0.0","","","En cours"
"[Bercyhub] Accompagnement mise à jour feuille de route AMDAC","Rédaction FDR - senior:Samuel","<p><br></p>","Samuel Goeta","0.0","Rédaction FDR","2023-06-01 14:11:11","2023-09-30 14:11:11","0.0","0.0","7.0","0.0","7.0","Rédaction FDR - senior","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Déplacements Anne-Laure","","Anne-Laure Donzel","0.0","Déplacement","","","14.0","0.0","0.0","0.0","-14.0","","","En cours"
"Open Data Canvas (R&D)","Prototypage","<p><br></p>","Arthur Sarazin","0.0","En cours","","","55.75","0.0","0.0","0.0","-55.75","","","En cours"
"Animation nationale du PCRS","Concertation création du GIP","<p><br></p>","François Lacombe","4.0","En cours","2023-03-01 08:30:26","2023-05-19 07:30:26","1.0","0.0","25.0","0.0","24.0","","","En cours"
"Tâches non facturables à timesheeter","Organisation séminaire: Guillaume","<p><br></p>","Guillaume Martin","0.0","Interne","","","4.0","0.0","0.0","0.0","-4.0","Organisation séminaire","","En cours"
"[Bercyhub] Accompagnement mise à jour feuille de route AMDAC","Veille data.economie - senior:Maëlle","<p><br></p>","Maëlle Fouquenet","0.0","[Option 1] Veille data.economie","2023-08-01 14:24:08","2023-11-30 15:24:08","0.0","0.0","28.0","0.0","28.0","Veille data.economie - senior","","En cours"
"PIX","recrutement des testeurs","<p><br></p>","Maëlle Fouquenet","0.0","fait","","","7.0","0.0","0.0","0.0","-7.0","","","En cours"
"Cours Avignon","Session 11 janvier","<p><br></p>","Anne-Laure Donzel","100.0","Session de cours","","","5.5","0.0","3.0","0.0","-2.5","","","En cours"
"Animation nationale du PCRS","saisine AGD","<p><br></p>","François Lacombe","50.0","Terminé","2023-01-16 18:37:11","2023-02-03 18:37:11","1.5","0.0","3.0","0.0","1.5","","","Prêt"
"Challenge Data #5","Publier les carnets de bord:Magalie","<p><br></p>","Diane Thierry","0.0","Post-challenge","","","2.0","0.0","0.0","0.0","-2.0","Publier les carnets de bord","","Prêt"
"Challenge Data #5","Présence à l'IEP CD#5:Clément F","<p><br></p>","Clément Feyt","0.0","Challenge","","","40.0","0.0","0.0","0.0","-40.0","Présence à l'IEP CD#5","","Prêt"
"Challenge Data #5","Recrutement des collectivités: Etienne","<p><br></p>","Etienne Pichot Damon","0.0","Pré-challenge","","","7.0","0.0","0.0","0.0","-7.0","Recrutement des collectivités","","Prêt"
"Accompagnement à la mise en place d’un Challenge Data des Mobilités","Entretiens","<p><br></p>","Anne-Laure Donzel","0.0","Etape 1","","","0.0","0.0","10.0","0.0","10.0","S00116: Réalisation de 8 entretiens avec les partenaires du projet dans le but de recenser les données disponibles","","En cours"
"Accompagnement à la mise en place d’un Challenge Data des Mobilités","S00116: Facilitation graphique pour illustrer le parcours d’accompagnement ","","","0.0","Etape 3","","","0.0","0.0","7.0","0.0","7.0","","","En cours"
"DREAL Grand Est - DataHub","Dataviz Questionnaires","<p><br></p>","Anthony Gigerich","0.0","MS2-E1-Grille comparative","","","17.0","0.0","0.0","0.0","-17.0","","","Prêt"
"Ouvrir ma ville","[sous-tâche Sarah] Préparation des ateliers avancés","<p><br></p>","Sarah Bourgouin","72.79","En cours","","","13.83","0.0","19.0","0.0","5.17","S00060: Préparation, documentation des ateliers avancés d'Ouvrir Ma Ville","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Phase 4 - Formalisation offre de service : Anne-Laure","<p><br></p>","Anne-Laure Donzel","100.0","Phase 4 - Formalisation offre de service du Datalab","2023-02-01 15:58:07","2023-03-31 14:58:07","34.25","0.0","23.0","0.0","-11.25","Phase 4 - Formalisation offre de service","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Comitologie: Clément","<p><br></p>","Clément Mandron","18.18","Comitologie","2022-09-06 14:51:08","2023-04-30 14:51:08","2.0","0.0","11.0","0.0","9.0","Comitologie","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Phase 2 - Etat des lieux: recensement des besoins: Clément","<p><br></p>","Clément Mandron","62.5","Phase 2 - Analyse des besoins data du territoire","2022-12-01 15:55:20","2023-02-10 15:55:20","15.0","0.0","24.0","0.0","9.0","Phase 2 - Etat des lieux: recensement des besoins","","En cours"
"Définition d'une organisation cible du Datalab Normandie","Phase 1 - Etat des lieux: Entretien état des lieux de l'offre: Anne Laure","<p><br></p>","Anne-Laure Donzel","100.0","Phase 1 - Réalisation d'un état des lieux","2022-09-06 14:53:13","2023-01-20 15:53:13","45.75","0.0","40.0","0.0","-5.75","Phase 1 - Etat des lieux: Entretien état des lieux de l'offre","","En cours"
"[BercyHub] Formations IGPDE","Animation 2 fresques:Déplacements Samuel","<p><br></p>","Samuel Goeta","0.0","En cours","","","0.0","0.0","6.0","0.0","6.0","Animation 2 fresques","","En cours"
"[CGDD] - Offre interne de service juridique sur la donnée","Livrable final","<p><br></p>","Joël Gombin","0.0","Gestion de projet","2023-01-09 14:18:50","2023-01-20 14:18:50","0.0","0.0","7.0","0.0","7.0","Conseil consultant senior","","En cours"
"Étude métiers de la donnée [MESR]","Rédaction du rapport d'analyse et de synthèse","<p><br></p>","Pauline Breton-Chauvet","0.0","À venir","2023-05-02 22:19:54","2023-07-14 22:19:54","0.0","0.0","50.0","0.0","50.0","Analyse et synthèse","","En cours"
"Tâches non facturables à timesheeter","Communautés: juridique","","Anne-Laure Donzel","0.0","Communautés","","","0.0","0.0","0.0","0.0","0.0","Communautés","","En cours"
